present,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,521.6071429,861.9642857,1202.321429,1542.678571,1883.035714,2223.392857,2563.75,2904.107143,3244.464286,3584.821429,3925.178571,4265.535714,4605.892857,4946.25,5286.607143,5626.964286,5967.321429,6307.678571,6648.035714,6988.392857,7328.75,7669.107143,8009.464286,8349.821429,8690.178571,9030.535714,9370.892857,9711.25,10051.60714,10391.96429,10732.32143,11072.67857,11413.03571,11753.39286,12093.75
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571,6514.285714,6857.142857,7200,7542.857143,7885.714286,8228.571429,8571.428571,8914.285714,9257.142857,9600,9942.857143,10285.71429,10628.57143,10971.42857,11314.28571,11657.14286,12000
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571,6514.285714,6857.142857,7200,7542.857143,7885.714286,8228.571429,8571.428571,8914.285714,9257.142857,9600,9942.857143,10285.71429,10628.57143,10971.42857,11314.28571,11657.14286
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571,6514.285714,6857.142857,7200,7542.857143,7885.714286,8228.571429,8571.428571,8914.285714,9257.142857,9600,9942.857143,10285.71429,10628.57143,10971.42857,11314.28571
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571,6514.285714,6857.142857,7200,7542.857143,7885.714286,8228.571429,8571.428571,8914.285714,9257.142857,9600,9942.857143,10285.71429,10628.57143,10971.42857
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571,6514.285714,6857.142857,7200,7542.857143,7885.714286,8228.571429,8571.428571,8914.285714,9257.142857,9600,9942.857143,10285.71429,10628.57143
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571,6514.285714,6857.142857,7200,7542.857143,7885.714286,8228.571429,8571.428571,8914.285714,9257.142857,9600,9942.857143,10285.71429
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571,6514.285714,6857.142857,7200,7542.857143,7885.714286,8228.571429,8571.428571,8914.285714,9257.142857,9600,9942.857143
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571,6514.285714,6857.142857,7200,7542.857143,7885.714286,8228.571429,8571.428571,8914.285714,9257.142857,9600
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571,6514.285714,6857.142857,7200,7542.857143,7885.714286,8228.571429,8571.428571,8914.285714,9257.142857
