present,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670.4837296,1361.920076,2075.306782,2811.705963,3572.249379,4358.144242,5170.67961,6011.233438,6881.280383,7782.400433,8716.288485,9684.764983,10689.78776,11733.46527,12818.0713,13946.06158,15120.09227,16343.04091,17618.02992,18948.45323,20338.00646,21790.72121,23311.00409,24903.68139,26574.05026,28327.93758,30171.76783,32112.64179,34158.42785,36317.86869,38600.70615,41017.82816,43581.44242,46305.28258,49204.85435,52297.73091,55603.9093,59146.24329,62950.97239,67048.37296,71473.56558,76267.52424,81478.34888
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691.4363462,1404.823053,2141.222233,2901.765649,3687.660513,4500.19588,5340.749708,6210.796653,7111.916703,8045.804755,9014.281254,10019.30403,11062.98154,12147.58757,13275.57785,14449.60854,15672.55718,16947.54619,18277.9695,19667.52274,21120.23748,22640.52036,24233.19766,25903.56653,27657.45385,29501.2841,31442.15806,33487.94412,35647.38496,37930.22242,40347.34443,42910.95869,45634.79885,48534.37062,51627.24718,54933.42557,58475.75956,62280.48866,66377.88923,70803.08185,75597.04051,80807.86515
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713.3867063,1449.785887,2210.329303,2996.224167,3808.759534,4649.313362,5519.360307,6420.480357,7354.368409,8322.844907,9327.867689,10371.54519,11456.15123,12584.1415,13758.17219,14981.12083,16256.10984,17586.53315,18976.08639,20428.80114,21949.08401,23541.76131,25212.13018,26966.0175,28809.84776,30750.72171,32796.50777,34955.94861,37238.78607,39655.90809,42219.52235,44943.3625,47842.93427,50935.81083,54241.98922,57784.32321,61589.05231,65686.45288,70111.6455,74905.60417,80116.4288
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736.3991807,1496.942597,2282.83746,3095.372828,3935.926656,4805.973601,5707.093651,6640.981703,7609.458201,8614.480982,9658.158486,10742.76452,11870.75479,13044.78549,14267.73413,15542.72313,16873.14645,18262.69968,19715.41443,21235.69731,22828.3746,24498.74348,26252.63079,28096.46105,30037.335,32083.12106,34242.5619,36525.39937,38942.52138,41506.13564,44229.97579,47129.54757,50222.42413,53528.60252,57070.93651,60875.66561,64973.06618,69398.25879,74192.21746,79403.0421
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760.5434162,1546.43828,2358.973647,3199.527475,4069.57442,4970.69447,5904.582522,6873.05902,7878.081802,8921.759305,10006.36534,11134.35561,12308.38631,13531.33495,14806.32395,16136.74727,17526.3005,18979.01525,20499.29812,22091.97542,23762.3443,25516.23161,27360.06187,29300.93582,31346.72188,33506.16272,35789.00018,38206.1222,40769.73646,43493.57661,46393.14839,49486.02495,52792.20334,56334.53733,60139.26643,64236.667,68661.85961,73455.81828,78666.64292
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785.8948634,1598.430231,2438.984059,3309.031004,4210.151054,5144.039106,6112.515604,7117.538385,8161.215889,9245.821922,10373.8122,11547.84289,12770.79153,14045.78054,15376.20385,16765.75709,18218.47183,19738.75471,21331.43201,23001.80088,24755.6882,26599.51845,28540.39241,30586.17847,32745.61931,35028.45677,37445.57878,40009.19305,42733.0332,45632.60497,48725.48153,52031.65992,55573.99391,59378.72301,63476.12358,67901.3162,72695.27486,77906.0995
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812.5353672,1653.089195,2523.13614,3424.25619,4358.144242,5326.620741,6331.643522,7375.321026,8459.927059,9587.917333,10761.94803,11984.89667,13259.88567,14590.30899,15979.86222,17432.57697,18952.85984,20545.53714,22215.90602,23969.79333,25813.62359,27754.49754,29800.2836,31959.72444,34242.5619,36659.68392,39223.29818,41947.13833,44846.71011,47939.58667,51245.76506,54788.09905,58592.82815,62690.22872,67115.42133,71909.38,77120.20464
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840.5538282,1710.600773,2611.720823,3545.608875,4514.085374,5519.108155,6562.785658,7647.391692,8775.381966,9949.41266,11172.3613,12447.35031,13777.77362,15167.32685,16620.0416,18140.32448,19733.00178,21403.37065,23157.25797,25001.08822,26941.96218,28987.74824,31147.18908,33430.02654,35847.14855,38410.76281,41134.60297,44034.17474,47127.0513,50433.22969,53975.56368,57780.29278,61877.69335,66302.88597,71096.84463,76307.66927
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870.0469449,1771.166995,2705.055047,3673.531545,4678.554327,5722.23183,6806.837863,7934.828138,9108.858832,10331.80747,11606.79648,12937.21979,14326.77303,15779.48777,17299.77065,18892.44795,20562.81682,22316.70414,24160.53439,26101.40835,28147.19441,30306.63525,32589.47271,35006.59473,37570.20899,40294.04914,43193.62091,46286.49747,49592.67586,53135.00985,56939.73895,61037.13952,65462.33214,70256.2908,75467.11544
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1200501,1835.008102,2803.4846,3808.507382,4852.184885,5936.790918,7064.781193,8238.811887,9461.760526,10736.74953,12067.17285,13456.72608,14909.44083,16429.7237,18022.401,19692.76988,21446.65719,23290.48745,25231.3614,27277.14746,29436.5883,31719.42576,34136.54778,36700.16204,39424.00219,42323.57397,45416.45053,48722.62892,52264.96291,56069.69201,60167.09258,64592.28519,69386.24386,74597.0685
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933.8880519,1902.36455,2907.387332,3951.064835,5035.670868,6163.661143,7337.691837,8560.640476,9835.629483,11166.0528,12555.60603,14008.32078,15528.60365,17121.28095,18791.64983,20545.53714,22389.3674,24330.24135,26376.02741,28535.46825,30818.30571,33235.42773,35799.04199,38522.88214,41422.45392,44515.33048,47821.50887,51363.84286,55168.57196,59265.97253,63691.16514,68485.12381,73695.94845
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968.4764983,1973.49928,3017.176783,4101.782816,5229.773091,6403.803785,7626.752424,8901.741431,10232.16474,11621.71798,13074.43273,14594.7156,16187.3929,17857.76177,19611.64909,21455.47935,23396.3533,25442.13936,27601.5802,29884.41766,32301.53968,34865.15394,37588.99409,40488.56587,43581.44242,46887.62082,50429.95481,54234.68391,58332.08448,62757.27709,67551.23576,72762.0604
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005.022781,2048.700285,3133.306318,4261.296593,5435.327286,6658.275926,7933.264933,9263.688245,10653.24148,12105.95623,13626.2391,15218.9164,16889.28528,18643.17259,20487.00285,22427.8768,24473.66286,26633.1037,28915.94116,31333.06318,33896.67744,36620.51759,39520.08937,42612.96593,45919.14432,49461.47831,53266.20741,57363.60798,61788.80059,66582.75926,71793.5839
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043.677504,2128.283537,3256.273811,4430.304505,5653.253145,6928.242152,8258.665463,9648.2187,11100.93345,12621.21632,14213.89362,15884.26249,17638.14981,19481.98007,21422.85402,23468.64008,25628.08092,27910.91838,30328.0404,32891.65466,35615.49481,38515.06659,41607.94314,44914.12154,48456.45553,52261.18463,56358.5852,60783.77781,65577.73648,70788.56112
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084.606033,2212.596308,3386.627002,4609.575641,5884.564648,7214.98796,8604.541197,10057.25594,11577.53882,13170.21612,14840.58499,16594.47231,18438.30256,20379.17652,22424.96258,24584.40342,26867.24088,29284.3629,31847.97716,34571.81731,37471.38908,40564.26564,43870.44403,47412.77802,51217.50712,55314.90769,59740.10031,64534.05897,69744.88361
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127.990275,2302.020968,3524.969608,4799.958615,6130.381927,7519.935163,8972.649911,10492.93279,12085.61008,13755.97896,15509.86627,17353.69653,19294.57049,21340.35654,23499.79739,25782.63485,28199.75686,30763.37112,33487.21127,36386.78305,39479.65961,42785.838,46328.17199,50132.90109,54230.30166,58655.49427,63449.45294,68660.27758
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174.030694,2396.979333,3671.96834,5002.391652,6391.944889,7844.659636,9364.942512,10957.61981,12627.98868,14381.876,16225.70626,18166.58021,20212.36627,22371.80711,24654.64457,27071.76659,29635.38085,32359.221,35258.79277,38351.66933,41657.84772,45200.18171,49004.91081,53102.31138,57527.504,62321.46267,67532.2873
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222.948639,2497.937647,3828.360958,5217.914195,6670.628942,8190.911818,9783.589116,11453.95799,13207.84531,15051.67556,16992.54952,19038.33558,21197.77642,23480.61388,25897.73589,28461.35015,31185.19031,34084.76208,37177.63864,40483.81703,44026.15102,47830.88012,51928.28069,56353.47331,61147.43197,66358.25661
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274.989007,2605.412319,3994.965556,5447.680303,6967.963178,8560.640476,10231.00935,11984.89667,13828.72692,15769.60088,17815.38694,19974.82778,22257.66524,24674.78725,27238.40152,29962.24167,32861.81344,35954.69,39260.86839,42803.20238,46607.93148,50705.33205,55130.52467,59924.48333,65135.30797
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330.423312,2719.976548,4172.691296,5692.974171,7285.651469,8956.020343,10709.90766,12553.73792,14494.61187,16540.39793,18699.83877,20982.67623,23399.79825,25963.41251,28687.25266,31586.82443,34679.70099,37985.87938,41528.21337,45332.94247,49430.34304,53855.53566,58649.49433,63860.31896
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389.553237,2842.267984,4362.550859,5955.228157,7625.597031,9379.484348,11223.3146,13164.18856,15209.97462,17369.41546,19652.25292,22069.37494,24632.9892,27356.82935,30256.40112,33349.27768,36655.45607,40197.79006,44002.51916,48099.91973,52525.11235,57319.07101,62529.89565
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1452.714747,2972.997623,4565.674921,6236.043794,7989.931111,9833.761368,11774.63532,13820.42138,15979.86222,18262.69968,20679.8217,23243.43596,25967.27611,28866.84789,31959.72444,35265.90284,38808.23683,42612.96593,46710.3665,51135.55911,55929.51778,61140.34242
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520.282875,3112.960173,4783.329047,6537.216364,8381.04662,10321.92057,12367.70663,14527.14747,16809.98494,19227.10695,21790.72121,24514.56136,27414.13314,30507.0097,33813.18809,37355.52208,41160.25118,45257.65175,49682.84436,54476.80303,59687.62767
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592.677298,3263.046171,5016.933488,6860.763745,8801.637699,10847.42376,13006.8646,15289.70206,17706.82408,20270.43834,22994.27849,25893.85026,28986.72682,32292.90521,35835.2392,39639.9683,43737.36887,48162.56149,52956.52016,58167.34479
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1670.368873,3424.25619,5268.086447,7208.960401,9254.746461,11414.1873,13697.02476,16114.14678,18677.76104,21401.60119,24301.17296,27394.04952,30700.22791,34242.5619,38047.29101,42144.69158,46569.88419,51363.84286,56574.66749
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1753.887317,3597.717573,5538.591528,7584.377587,9743.818428,12026.65589,14443.77791,17007.39217,19731.23232,22630.80409,25723.68065,29029.85904,32572.19303,36376.92213,40474.3227,44899.51532,49693.47398,54904.29862
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843.830256,3784.704211,5830.49027,7989.931111,10272.76857,12689.89059,15253.50485,17977.345,20876.91677,23969.79333,27275.97172,30818.30571,34623.03481,38720.43538,43145.628,47939.58667,53150.4113
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1940.873954,3986.660014,6146.100855,8428.938315,10846.06033,13409.67459,16133.51474,19033.08652,22125.96308,25432.14147,28974.47546,32779.20456,36876.60513,41301.79774,46095.75641,51306.58105
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045.78606,4205.226901,6488.064361,8905.186378,11468.80064,14192.64079,17092.21256,20185.08912,23491.26751,27033.6015,30838.3306,34935.73117,39360.92379,44154.88246,49365.70709
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2159.440841,4442.278301,6859.400318,9423.014578,12146.85473,15046.4265,18139.30306,21445.48145,24987.81544,28792.54454,32889.94511,37315.13773,42109.0964,47319.92103
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2282.83746,4699.959477,7263.573737,9987.413889,12886.98566,15979.86222,19286.04061,22828.3746,26633.1037,30730.50427,35155.69689,39949.65556,45160.48019
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2417.122017,4980.736277,7704.576429,10604.1482,13697.02476,17003.20315,20545.53714,24350.26624,28447.66681,32872.85943,37666.8181,42877.64273
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2563.61426,5287.454412,8187.026186,11279.90275,14586.08114,18128.41513,21933.14423,26030.5448,30455.73741,35249.69608,40460.52072
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2723.840152,5623.411926,8716.288485,12022.46688,15564.80087,19369.52997,23466.93054,27892.12315,32686.08182,37896.90646
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2899.571774,5992.448333,9298.626724,12840.96071,16645.68981,20743.09038,25168.283,29962.24167,35173.0663
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3092.876559,6399.05495,9941.38894,13746.11804,17843.51861,22268.71123,27062.66989,32273.49453
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3306.178391,6848.512381,10653.24148,14750.64205,19175.83467,23969.79333,29180.61797
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3542.33399,7347.063091,11444.46366,15869.65628,20663.61494,25874.43958
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3804.729101,7902.12967,12327.32229,17121.28095,22332.10559
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4097.40057,8522.593185,13316.55185,18527.37649
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4425.192615,9219.151282,14429.97592
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4793.958667,10004.7833
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5210.824638
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
